Reconstruction Coord z;Map Coord z;Error z;;;;;
0,022599;0,51952;0,496922;;;;;
0,013341;0,50955;0,496208;;;;;
0,014618;0,510788;0,496169;;;;;
0,012468;0,508041;0,495573;;;;;
0,013271;0,505149;0,491877;;;;;
0,013271;0,505149;0,491877;;;;;
0,021806;0,513647;0,49184;;;;;
0,030523;0,521893;0,49137;;;;;
0,012654;0,5032;0,490546;;;;;
0,01257;0,502077;0,489506;;;;;
0,026257;0,515706;0,48945;;;;;
0,017059;0,50514;0,488081;;;;;
0,017515;0,504896;0,48738;;;;;
0,01503;0,502216;0,487186;;;;;
0,014101;0,500708;0,486607;;;;;
0,000838;0,487059;0,486221;;;;;
0,044825;0,530278;0,485452;;;;;
0,044825;0,530278;0,485452;;;;;
0,002631;0,487341;0,48471;;;;;
0,004847;0,489332;0,484485;;;;;
0,005557;0,489377;0,48382;;;;;
0,005557;0,489377;0,48382;;;;;
0,028423;0,511822;0,483398;;;;;
0,03882;0,521172;0,482351;;;;;
0,031178;0,512561;0,481383;;;;;
0,019127;0,500494;0,481366;;;;;
0,019127;0,500494;0,481366;;;;;
0,003102;0,484381;0,481279;;;;;
0,036621;0,516883;0,480262;;;;;
0,003155;0,482621;0,479466;;;;;
0,053147;0,53246;0,479313;;;;;
0,053147;0,53246;0,479313;;;;;
0,005274;0,484381;0,479107;;;;;
0,034334;0,513341;0,479007;;;;;
0,034334;0,513341;0,479007;;;;;
0,018188;0,495588;0,477399;;;;;
0,00484;0,482017;0,477177;;;;;
0,015578;0,492623;0,477044;;;;;
0,002949;0,47996;0,477011;;;;;
0,003875;0,479508;0,475633;;;;;
0,01742;0,492924;0,475504;;;;;
0,00281;0,477919;0,475109;;;;;
0,021037;0,495588;0,474551;;;;;
0,003049;0,477228;0,474179;;;;;
0,003502;0,477532;0,47403;;;;;
0,002692;0,47625;0,473558;;;;;
0,004493;0,477559;0,473066;;;;;
0,035898;0,508908;0,473011;;;;;
0,035898;0,508908;0,473011;;;;;
0,023288;0,495588;0,472299;;;;;
0,039719;0,511353;0,471634;;;;;
0,036929;0,507821;0,470892;;;;;
0,02225;0,492623;0,470373;;;;;
0,003541;0,472057;0,468516;;;;;
0,03688;0,504896;0,468015;;;;;
0,052952;0,520815;0,467863;;;;;
0,051315;0,518854;0,467538;;;;;
0,015663;0,483007;0,467344;;;;;
0,013749;0,479931;0,466182;;;;;
0,028858;0,494793;0,465935;;;;;
0,028858;0,494793;0,465935;;;;;
0,004485;0,470349;0,465864;;;;;
0,01394;0,479741;0,465801;;;;;
0,025667;0,490995;0,465328;;;;;
0,051873;0,516883;0,46501;;;;;
0,028212;0,493023;0,464812;;;;;
0,012637;0,475821;0,463184;;;;;
0,020691;0,483238;0,462547;;;;;
0,051426;0,512911;0,461485;;;;;
0,035635;0,496428;0,460794;;;;;
0,036532;0,49724;0,460708;;;;;
0,047649;0,508041;0,460393;;;;;
0,054583;0,514872;0,46029;;;;;
0,012109;0,471408;0,4593;;;;;
0,001836;0,461002;0,459166;;;;;
0,001836;0,461002;0,459166;;;;;
0,010648;0,469795;0,459148;;;;;
0,021181;0,479651;0,45847;;;;;
0,053413;0,5112;0,457786;;;;;
0,004706;0,462426;0,457719;;;;;
0,012759;0,470422;0,457663;;;;;
0,029926;0,487285;0,457359;;;;;
0,028651;0,485435;0,456784;;;;;
0,034366;0,490995;0,456629;;;;;
0,034991;0,490893;0,455902;;;;;
0,015296;0,470859;0,455563;;;;;
0,004352;0,459038;0,454686;;;;;
0,047468;0,502059;0,454592;;;;;
0,035394;0,48956;0,454166;;;;;
0,01649;0,470617;0,454127;;;;;
0,011132;0,465047;0,453915;;;;;
0,018388;0,471408;0,45302;;;;;
0,000311;0,452733;0,452421;;;;;
0,033669;0,486076;0,452407;;;;;
0,023572;0,475748;0,452176;;;;;
0,035826;0,487888;0,452061;;;;;
0,01518;0,466461;0,451281;;;;;
0,013255;0,464056;0,450802;;;;;
0,022904;0,473444;0,45054;;;;;
0,013194;0,463576;0,450382;;;;;
0,035476;0,485585;0,450109;;;;;
0,013548;0,463576;0,450028;;;;;
0,004655;0,454547;0,449892;;;;;
0,013819;0,463667;0,449848;;;;;
0,00174;0,45148;0,44974;;;;;
0,013312;0,46281;0,449498;;;;;
0,035984;0,484494;0,44851;;;;;
0,051333;0,498975;0,447642;;;;;
0,004216;0,451179;0,446963;;;;;
0,004765;0,45148;0,446715;;;;;
0,001941;0,44856;0,446619;;;;;
0,031097;0,477532;0,446436;;;;;
0,036188;0,482621;0,446433;;;;;
0,023849;0,470228;0,446379;;;;;
0,031515;0,477572;0,446057;;;;;
0,011136;0,456751;0,445614;;;;;
0,002545;0,447634;0,445089;;;;;
0,014753;0,459675;0,444922;;;;;
0,014753;0,459675;0,444922;;;;;
0,013153;0,457969;0,444816;;;;;
0,018869;0,463321;0,444451;;;;;
0,022572;0,466511;0,443938;;;;;
0,037804;0,48123;0,443426;;;;;
0,00118;0,444424;0,443244;;;;;
0,000948;0,443736;0,442788;;;;;
0,036174;0,478859;0,442684;;;;;
0,030839;0,473187;0,442348;;;;;
0,003679;0,445275;0,441595;;;;;
0,034298;0,475748;0,44145;;;;;
0,014216;0,455616;0,4414;;;;;
0,003602;0,444966;0,441364;;;;;
0,014192;0,45555;0,441357;;;;;
0,01438;0,455616;0,441236;;;;;
0,021498;0,462655;0,441157;;;;;
0,00359;0,444424;0,440834;;;;;
0,00359;0,444424;0,440834;;;;;
0,027956;0,468587;0,440631;;;;;
0,056333;0,49673;0,440397;;;;;
0,036188;0,475748;0,43956;;;;;
0,038178;0,477563;0,439385;;;;;
0,038178;0,477563;0,439385;;;;;
0,003092;0,442399;0,439307;;;;;
0,004175;0,44332;0,439145;;;;;
0,001383;0,440239;0,438856;;;;;
0,014665;0,453181;0,438515;;;;;
